#,Notebook Cell,Line,Code line,explanation
95,13,10,CT_data['Compliance Period Begin Date'] = pd.to_datetime(,Starts converting the compliance begin date column into datetime format so the year can be extracted.
96,13,11,"CT_data['Compliance Period Begin Date'], errors='coerce'",Identifies the date column to convert; errors='coerce' changes invalid dates into NaT instead of stopping the code.
97,13,14,CT_data['Year'] = CT_data['Compliance Period Begin Date'].dt.year,Creates a new Year column by extracting only the year from the compliance begin date.
98,13,17,"CT_data = CT_data.dropna(subset=['Population Served Count', 'Year'])",Removes rows where population count or year is missing so the analysis does not graph incomplete records.
99,13,20,CT_data['Year'] = CT_data['Year'].astype(int),Converts the Year column to whole numbers so the x-axis shows clean years instead of decimals.
100,13,23,small_system_data = CT_data[CT_data['Population Served Count'] < 200],Filters CT_data to keep only smaller systems with Population Served Count < 200.
101,13,24,big_system_data = CT_data[CT_data['Population Served Count'] > 200],Filters CT_data to keep only larger systems with Population Served Count > 200.
102,13,48,"name='Big system (>200)',",Names this data series 'Big system (>200)' so it appears correctly in the legend.
103,13,54,"title='Distribution of Connecticut Systems by Year',",Sets the Plotly graph title displayed above the chart.
104,14,3,state_code = 'LA',Stores Louisiana's state/agency code in a variable so it can be used to filter the data.
105,14,4,state_name = 'Louisiana',Stores the full state name so it can be inserted into the graph title.
106,14,20,state_data = TLC_data[TLC_data['Primacy Agency Code'] == state_code].copy(),Creates a DataFrame for the selected state by filtering rows where the agency code matches state_code. The .copy() helps prevent unwanted changes to TLC_data.
107,14,23,"state_data = state_data.dropna(subset=['Population Served Count', 'Year'])","Removes rows from the selected state's data if population count or year is missing, so the graph uses complete records."
108,14,27,small_system_data = state_data[state_data['Population Served Count'] < 500],Filters state_data to keep only smaller systems with Population Served Count < 500.
109,14,28,big_system_data = state_data[state_data['Population Served Count'] > 500],Filters state_data to keep only larger systems with Population Served Count > 500.
110,14,51,"title=f'Distribution of {state_name} Systems by Year',",Sets the Plotly graph title displayed above the chart.
